name,latitude,longitude
Camino,38.82881,-120.537089
Jaybird,38.83405,-120.53176
Loon Lake,38.982697,-120.324503
Robbs Peak,38.896511,-120.378292
White Rock/Slab Creek,38.765336,-120.787366
Devil Canyon,34.2056,-117.3344
Edward C Hyatt,39.542985,-121.492188
Thermalito,39.514893,-121.630077
Don Pedro,37.695994,-120.420152
La Grange,37.6697,-120.4436
Folsom,38.70675,-121.158443
Judge F Carr,40.646934,-122.626973
Keswick,40.611858,-122.446441
Nimbus,38.63735,-121.220198
Shasta,40.717455,-122.422274
ONeill,37.098671,-121.047718
Parker Dam,34.295334,-114.140222
W R Gianelli,37.0692,-121.0772
Spring Creek,40.628115,-122.467509
Trinity,40.797296,-122.762553
Colgate,39.330833,-121.191666
Narrows 2,39.238996,-121.270409
Bear Valley,33.166246,-117.016566
Pueblo,38.2667,-104.6144
W N Clark,38.4344,-105.25
Alamosa,37.4594,-105.8947
Arapahoe,39.67,-105.0028
Boulder Canyon Hydro,40.004725,-105.332495
Cabin Creek,39.6551,-105.7088
Cameo,39.127778,-108.326111
Cherokee,39.807275,-104.964548
Comanche (CO),38.2081,-104.5747
Fruita,39.1364,-108.7347
Georgetown Hydro,39.6919,-105.6978
Grand Valley Project Power Plant,39.101667,-108.345556
Salida,38.53419,-106.182003
Shoshone (CO),39.57013,-107.226876
Valmont,40.0195,-105.202
Zuni,39.737348,-105.016991
Temescal,33.8343,-117.4971
Corona,33.85895,-117.6106
Perris,33.8361,-117.1831
Rio Hondo,34.004722,-118.09917
Coyote Creek,33.92493,-117.95517
Red Mountain,33.3944,-117.1889
Valley View,33.9001,-117.82905
Upper Dawson,37.6508,-120.4706
Center,37.753606,-106.10467
Martin Drake,38.824444,-104.833333
George Birdsall,38.881389,-104.816944
Manitou Springs,38.855556,-104.933056
Ruxton Park,38.841354,-104.973802
Holly,38.032717,-102.073659
Julesburg,40.9505,-102.2795
Boysen,43.417872,-108.177545
La Junta,37.9876,-103.5468
Las Animas,38.0647,-103.2159
Lamar Plant,38.033327,-102.537915
Sonoma California Geothermal,38.7903,-122.7559
Trinidad (CO),37.178979,-104.487492
Blue Mesa,38.453191,-107.337483
Estes,40.376771,-105.509665
Morrow Point,38.451753,-107.539299
Big Thompson,40.421031,-105.223804
Green Mountain,39.878805,-106.332725
Marys Lake,40.34408,-105.534308
Flatiron,40.364996,-105.236032
Pole Hill,40.365056,-105.325074
Lower Molina,39.19366,-108.044088
Upper Molina,39.143808,-108.004777
Hayden,40.4856,-107.185
Nucla,38.2383,-108.5069
Rancho Seco Solar,38.340015,-121.113861
Camp Far West,39.048802,-121.316966
McWilliams,31.400255,-86.476449
Jones Fork,38.850283,-120.381883
McClellan (CA),38.652731,-121.393336
Camanche,38.2268,-121.0245
Rocky River (CT),41.5826,-73.4349
Branford,41.2925,-72.7942
Bulls Bridge,41.659046,-73.491984
Cos Cob,41.0289,-73.5989
Devon Station,41.209797,-73.108976
Montville Station,41.4281,-72.1019
Northfield Mountain,42.610683,-72.471643
Kettle Falls Generating Station,48.620336,-118.111059
Scotland Dam,41.6651,-72.1221
Shepaug,41.44842,-73.295321
Stevenson,41.3833,-73.1714
Taftville,41.5725,-72.0458
Tunnel,41.555425,-72.041829
Rainbow (CT),41.915312,-72.693616
Falls Village,41.957272,-73.369297
Franklin Drive,41.798943,-73.116267
Middletown,41.554944,-72.579075
South Meadow,41.7495,-72.6524
Stanton Energy Center,28.4822,-81.1678
Torrington Terminal,41.776109,-73.120886
Millstone,41.3107,-72.1677
Bridgeport Station,41.1706,-73.1844
Central Hudson High Falls,41.828814,-74.131877
North Main Street,41.52679,-72.064935
Tenth Street,41.538955,-72.050936
Navajo Dam,36.8061,-107.6131
Drop 1,32.711611,-114.942666
East Highline,32.699451,-115.28245
J C McNeil,44.4917,-73.208056
Christiana,39.7302,-75.5371
Delaware City 10,39.600408,-75.626811
Edge Moor,39.73886,-75.50384
Indian River Generating Station,38.5857,-75.2341
West Station (DE),39.7283,-75.6289
McKee Run,39.176222,-75.546628
Brandon Shores,39.18,-76.5389
Fredonia,48.4558,-122.4358
Cape Canaveral,28.4698,-80.7644
Cutler,25.6321,-80.2989
Fort Myers,26.6967,-81.7831
Lauderdale,26.0686,-80.1984
Port Everglades,26.0856,-80.1253
Riviera,26.7653,-80.0525
Sanford,28.8419,-81.3256
Turkey Point,25.4356,-80.3308
South Fork Tolt,47.699167,-121.783333
Avon Park,27.579444,-81.492778
Upper Mechanicville,42.9126,-73.6805
Oak Flat,40.07531,-121.16143
Bayboro,27.758056,-82.635278
Crystal River,28.9656,-82.6977
G E Turner,28.869577,-81.273957
Higgins,28.003262,-82.661507
Newcastle,38.835182,-121.092982
P L Bartow,27.859535,-82.601759
Rio Pinar,28.541515,-81.254067
Suwannee River,30.376389,-83.180556
Crist,30.5661,-87.2244
Scholz,30.6692,-84.8869
Lansing Smith,30.2686,-85.7003
Big Bend,27.7944,-82.4036
F J Gannon,27.907222,-82.423055
Hookers Point,27.9375,-82.444444
Vogtle,33.1427,-81.7625
Kensico,41.0851,-73.7748
Henry D King,27.448611,-80.338611
Deerhaven Generating Station,29.7592,-82.3878
John R Kelly,29.6461,-82.3208
G W Ivey,25.4756,-80.47
J D Kennedy,30.364818,-81.625967
Northside Generating Station,30.4172,-81.5525
Southside Generating Station,30.316389,-81.648888
Hansel,28.289436,-81.407908
Tom G Smith,26.612767,-80.0677
Pilot Butte,43.219017,-108.787681
Larsen Memorial,28.0797,-81.9228
C D McIntosh Jr,28.0801,-81.9229
W K Sanders,44.625282,-72.530859
Smith Street,29.0219,-80.9644
W E Swoope,29.0219,-80.9644
Kerckhoff 2,37.071846,-119.558008
Indian River Plant,28.493232,-80.780124
St Cloud,28.2447,-81.2881
Arvah B Hopkins,30.4522,-84.4
S O Purdom,30.162304,-84.200673
J Woodruff,30.708571,-84.863869
Medicine Bow,41.835278,-106.242778
Marathon Generating Plant,24.710833,-81.0927
Trenton North,40.0786,-93.635
Arkwright,32.926944,-83.699444
Atkinson,33.8175,-84.480278
Barnett Shoals,33.839475,-83.309716
Bartletts Ferry,32.661976,-85.091552
Bowen,34.1256,-84.9222
Burton Dam,34.7939,-83.5406
Flint River,31.6028,-84.1376
Goat Rock,32.60965,-85.0805
Hammond,34.2528,-85.3456
Harllee Branch,33.195,-83.2983
Jack McDonough,33.8239,-84.4758
Langdale,32.813836,-85.167786
Lloyd Shoals,33.320773,-83.841922
Toadtown,39.893491,-121.59338
McManus,31.213645,-81.546165
Morgan Falls,33.9684,-84.3827
Nacoochee,34.755269,-83.501073
North Highlands,32.498791,-84.995585
Oliver Dam,32.5163,-84.9969
Sinclair Dam,33.1403,-83.2028
Tallulah Falls,34.731332,-83.375475
Terrora,34.7504,-83.4063
Tugalo,34.7133,-83.3519
Mitchell (GA),31.444728,-84.134696
Yates,33.4622,-84.8986
Yonah,34.681477,-83.342642
Boulevard,32.0411,-81.145
Kraft,32.1486,-81.1458
Riverside (GA),32.083611,-81.095555
Stevens Creek,33.562644,-82.051242
Etiwanda,34.10345,-117.5257
Dinner Lake,27.4925,-81.435833
Phillips,27.4439,-81.3633
Moccasin Low Head Hydro Project,37.816447,-120.312033
Lake Blackshear Project,31.847697,-83.941996
Crisp Plant,31.844708,-83.940734
Hartwell Lake,34.3564,-82.8219
Blue Ridge,34.883889,-84.282222
Nottely,34.959153,-84.08765
Buford,34.162279,-84.077367
Allatoona,34.1637,-84.7282
Walter F George,31.624501,-85.065237
Ponca,36.71979,-97.085758
Honolulu,21.3068,-157.8819
Kahe,21.356395,-158.128853
Waiau,21.388997,-157.961518
Waimea,20.0252,-155.6955
Kanoelehua,19.7052,-155.0625
Puueo,19.7264,-155.0908
W H Hill,19.7041,-155.0607
Sullivan CR,48.863333,-117.345277
Waiau Hydro,19.7203,-155.1189
Sly Creek,39.580413,-121.119479
Basin Mills,44.875,-68.673055
Veazie C,44.836667,-68.698055
Kingsley,41.2114,-101.6681
East Barnet,44.326335,-72.035894
Orca,60.555889,-145.752983
Gem State,43.420221,-112.101852
Canyon,29.87056,-98.194733
Palaau Power,21.106,-157.0647
Lewisville,33.068473,-96.963806
Charles E Monty,44.099461,-70.220851
Jarvis (Hinckley),43.3121,-75.109
American Falls,42.7778,-112.8764
Bliss,42.913786,-115.070986
Brownlee,44.8367,-116.8975
C J Strike,42.944869,-115.977858
Cascade Dam,44.5256,-116.0483
Clear Lake,42.66701,-114.78012
Lower Malad,42.865783,-114.906172
Lower Salmon,42.841608,-114.903611
Salmon Diesel,45.183368,-113.885307
Shoshone Falls,42.5975,-114.4033
Swan Falls,43.2435,-116.3791
Thousand Springs,42.740542,-114.836722
Twin Falls (ID),42.5892,-114.3553
Upper Salmon A,42.767422,-114.924692
Upper Malad,42.864267,-114.885542
Ashton,44.07863,-111.497326
Cove,42.514444,-111.793055
Grace,42.53675,-111.793967
Oneida,42.267774,-111.748531
Soda,42.64455,-111.696689
Cabinet Gorge,48.084444,-116.053056
Post Falls,47.703333,-116.953889
Scott Flat,39.272108,-120.932508
