name,latitude,longitude,authority,source,owner
"SunE Feely 1 CSG, LLC",44.655217,-93.110402,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
"CoreSite Real Estate 3032 Coronado, L.P.",37.376181,-121.973097,California Independent System Operator,,Pacific Gas & Electric Co.
"Cottage Grove CSG, LLC",44.842124,-92.873655,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
"Fox CSG, LLC",45.392643,-92.681317,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
"SunE Stolee CSG, LLC",44.173879,-93.350470,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
"Wyoming 2 CSG, LLC",45.350000,-92.950000,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
SL Babylon,40.730844,-73.375833,New York Independent System Operator,,Long Island Power Authority
NYU LANGONE HEALTH,40.746778,-73.972226,New York Independent System Operator,,Consolidated Edison Co-NY Inc
Cameron Solar,33.574000,-80.707000,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
Estill Solar,32.763843,-81.242151,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
First Citizens Bank,35.728517,-78.639206,Duke Energy Progress East,,Duke Energy Progress - (NC)
Harvest Moon Renewable Energy Company,29.740788,-96.159940,"Electric Reliability Council of Texas, Inc.",NA,CenterPoint Energy
Wright Cuddyer CSG,45.183100,-93.734100,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
Carver Gladden CSG,44.807100,-93.871700,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Wisconsin
Adams Solar Center,44.675000,-121.122000,PacifiCorp - West,,PacifiCorp
Elbe Solar Center,44.618000,-121.205000,PacifiCorp - West,,PacifiCorp
Hampton Solar 2,32.881000,-81.136000,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
CED Foster,41.795000,-71.787000,ISO New England Inc.,,Municipal Electric Authority
Porter Way Community Solar Garden,44.851028,-93.778397,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
ABEC #2 dba West-Star Dairy,35.472113,-119.432866,California Independent System Operator,,Pacific Gas & Electric Co.
ABEC #3 dba Lakeview Dairy,35.214260,-119.202974,California Independent System Operator,,Pacific Gas & Electric Co.
ABEC #4 dba CE&S Dairy,35.173060,-119.116384,California Independent System Operator,,Pacific Gas & Electric Co.
RJC I CSG,44.125053,-93.279116,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Huneke I CSG,44.726789,-92.669448,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Krause CSG,44.795624,-95.209719,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
DG New Jersey Solar RLS Logistics,39.575217,-75.014147,"PJM Interconnection, LLC",,Atlantic City Electric Co
Provo Power Plant,40.242700,-111.662980,PacifiCorp - East,Municipality,PacifiCorp
Monroe County Sites A & B,43.174071,-77.392234,New York Independent System Operator,,Rochester Gas &amp; Electric Corporation
"Monroe County Sites C, D, & E",43.318790,-77.740208,New York Independent System Operator,,Rochester Gas &amp; Electric Corporation
Burt County Wind,41.886000,-96.345000,Southwest Power Pool,,Omaha Public Power District
"Bullock Solar, LLC",36.475369,-78.315078,Duke Energy Progress East,,Duke Energy Progress - (NC)
Marlin Solar,31.286739,-96.877205,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
North Gainesville Solar,33.656072,-97.148569,"Electric Reliability Council of Texas, Inc.",,Oncor Electric Delivery Company LLC
DG Camden LLC Holtec,39.910969,-75.118600,"PJM Interconnection, LLC",,Public Service Elec & Gas Co
School Sisters CSG,44.178970,-93.968902,"Midcontinent Independent Transmission System Operator, Inc..",,Northern States Power Co - Minnesota
Candlewood Solar,41.572500,-73.453889,ISO New England Inc.,,Connecticut Light & Power Co
301 Chestnut Solar NG,42.055179,-72.521780,ISO New England Inc.,,Massachusetts Electric Co
Baker Point,39.570338,-77.363415,"PJM Interconnection, LLC",,The Potomac Edison Co
Rosewood Solar,35.437500,-78.107090,Duke Energy Progress East,,Tri-County Elec Member Corp
Swamp Fox Solar,33.791505,-81.256166,South Carolina Electric & Gas Company,,South Carolina Electric&Gas Company
